unmatched_lender_name
"ABN
AMRO BANK N"
"ABN
AMRO BANK N.V"
ABN AMRO Bank N
ABN AMRO Bank N.V.
AMEGY BANK N
AMEGY BANK N.A.
BANK NATIONAL ASSOCIATION
BANK OF NOVA SCOTIA
BANK OF SCOTLAND
BANK OF SCOTLAND plc
"BANK OF TEXAS, N"
"BANK OF TEXAS, N.A"
"BMO CAPITAL MARKETS FINANCING, INC."
"BMO Capital Markets Financing,
Inc"
"Bank
One"
"Bank
One, N"
"Bank
One, N.A."
"Bank
of New York Trust Company, N"
"Bank
of New York Trust Company, N.A"
Bank Credit
Bank National Association
Bank One
"Bank One,
National Association"
"Bank One, N"
"Bank One, N.A"
"Bank One, National Association"
Bank Trust Company National Association
"Bank Trust Company, National Association"
Bank of New York
"Bank of New York
Mellon Trust Company, N"
"Bank of New York
Mellon Trust Company, N.A"
"Bank of New York
Trust Company, N.A"
Bank of New York Mellon Trust Company
"Bank of New York Mellon Trust Company, N"
"Bank of New York Mellon Trust Company, N.A"
"Bank of New York Trust Company, N.A"
CANADIAN IMPERIAL BANK OF COMMERCE
COMPASS BANK
CREDIT AGRICOLE CORPORATE AND
CREDIT AGRICOLE CORPORATE AND INVESTMENT
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
Capital Resources
Credit Agricole Corporate and Investment Bank
"ENERVEST
ENERGY INSTITUTIONAL FUND IX-WI, L"
"ENERVEST ENERGY INSTITUTIONAL FUND IX, L"
EnerVest Energy Institutional Fund
Energy Capital
"Energy Capital, LLC"
"Energy Institutional Fund IX, L"
"FIRST TRUST OF ILLINOIS, NATIONAL ASSOCIATION"
FORTIS CAPITAL CORP
FORTIS CAPITAL CORP.
FROST NATIONAL BANK
"Fargo Bank Minnesota, N"
"Fargo Bank Minnesota, N.A."
"Fargo Securities, LLC"
Federal Reserve Bank
Federal Reserve Bank of New York
"Financial
Accounting Standards Board"
Financial Accounting Standards Board
Financial Conduct Authority
"First
Trust of Illinois, National Association"
"First Trust of Illinois, National Association"
Fund IX
"Hibernia
National Bank"
Hibernia National Bank
INVESTMENT BANK
"J.P.
Morgan Trust Company"
"J.P.
Morgan Trust Company, National Association"
"J.P. Morgan Chase Bank, N"
J.P. Morgan Securities LLC
"J.P. Morgan Securities, Inc"
"J.P. Morgan Trust
Company, National Association"
J.P. Morgan Trust Company
"J.P. Morgan Trust Company,
National Association"
"J.P. Morgan Trust Company, National
Association"
"J.P. Morgan Trust Company, National Association"
J.P.Morgan Trust Company
"J.P.Morgan Trust Company, National Association"
JPMorgan Securities LLC
Lockheed Martin Ventures Fund
"MDU
Energy Capital"
"MDU Energy
Capital"
MDU Energy Capital
"MDU Energy Capital, LLC"
"MOUNTAIN FRONT PARTNERS, LLC"
Macquarie Bank Limited
"Mizuho Corporate Bank,
LTD"
"Morgan
Trust Company"
"Morgan
Trust Company, National Association"
"Morgan Chase Bank,
N.A."
"Morgan Chase Bank, N"
"Morgan Chase Bank, N.A"
"Morgan Chase Bank, N.A."
Morgan Securities LLC
"Morgan Securities, Inc"
"Morgan Trust
Company"
"Morgan Trust
Company, National Association"
Morgan Trust Company
"Morgan Trust Company, National Association"
New York Trust
New York Trust Company
"Norwest Bank Minnesota,"
Other Financial
"P.
Morgan Trust Company, National Association"
"P. Morgan Chase Bank, N"
"P. Morgan Trust
Company, National Association"
P. Morgan Trust Company
"P. Morgan Trust Company, National"
"P. Morgan Trust Company, National Association"
"P.Morgan Chase Bank,
N.A."
"P.Morgan Chase Bank, N"
"P.Morgan Chase Bank, N.A"
"P.Morgan Chase Bank, N.A."
"P.Morgan Trust Company, National Association"
Reverse Morris Trust
"S. BANK
NATIONAL ASSOCIATION,"
S. BANK NATIONAL ASSOCIATION
S. Bank National Association
S. Bank Trust Company National Association
"S. Bank Trust Company, National Association"
S. Securities and Exchange Commission
SailingStone Capital Partners LLC
Securities
"Securities
and Exchange Commission"
"Securities and
Exchange Commission"
Securities and Exchange Com
Securities and Exchange Commission
"Securities,"
Southwest Bank of
Southwest Bank of Texas N
Southwest Bank of Texas N.A
THE BANK OF NOVA SCOTIA
THE FROST NATIONAL BANK
"The Bank
of New York Trust Company"
"The Bank
of New York Trust Company, N"
"The Bank
of New York Trust Company, N.A"
The Bank of New
The Bank of New York
"The Bank of New York
Mellon Trust Company"
"The Bank of New York
Trust Company, N"
"The Bank of New York
Trust Company, N.A"
The Bank of New York Mellon Trust Company
"The Bank of New York Mellon Trust Company, N"
"The Bank of New York Mellon Trust Company, N.A"
The Bank of New York Trust Company
"The Bank of New York Trust Company,
N"
"The Bank of New York Trust Company,
N.A"
"The Bank of New York Trust Company, N"
"The Bank of New York Trust Company, N.A"
The Other Financial Instit
U.S. Securities and Exchange Commission
U.S. Treasury Securities
"UNION
BANK OF CALIFORNIA"
"UNION
BANK OF CALIFORNIA, N"
UNION BANK OF CALIFORNIA
"UNION BANK OF CALIFORNIA, N"
"UNION BANK OF CALIFORNIA, N.A"
"UNION BANK OF CALIFORNIA, N.A."
"UNION BANK, N"
US Government Debt Securities
Union Bank of
"Union Bank of California, N.A"
WI Fund IX
"York Trust Company,
N"
d Capital Resources
"t Trust of Illinois, National Association"
